playerid,position,firstname,lastname,av,playerpic,mugshotpic,apidataavailable,price,careerstat1,careerstat2,careerstat3,careerstat4,careerstat5,careerblurb
24,WR,Julian,Edelman,59,/assets/playerPhotos/JulianEdelman.png,/assets/playerPhotos/JulianEdelmanMugshot.jpg,TRUE,0,Rec - 505,YPR - 10.8,Yards - 5473,TDs - 30,,Julian Edelman was arrested following an incident at a Halloween party. His costume was someone who doesn't owe his entire career to Tom Brady.
25,WR,Hines,Ward,118,/assets/playerPhotos/HinesWard.png,/assets/playerPhotos/HinesWardMugshot.jpg,TRUE,0,Rec - 1000,YPR - 12.1,Yards - 12083,TDs - 85,,"In a Sports Illustrated poll of NFL players in 2009, Ward was voted the ""dirtiest player in the NFL."" He was arrested on a DUI charge in 2011."
26,WR,Donte,Stallworth,45,/assets/playerPhotos/DonteStallworth.png,/assets/playerPhotos/DonteStallworthMugshot.jpg,TRUE,0,Rec - 321,YPR - 15.1,Yards - 4837,TDs - 35,,"Stallworth is a former WR that played ten seasons in the NFL. In 2009, he was arrested for DUI Manslaughter."
27,WR,Plaxico,Burress,83,/assets/playerPhotos/PlaxicoBurress.png,/assets/playerPhotos/PlaxicoBurressMugshot.webp,TRUE,0,Rec - 553,YPR - 15.4,Yards - 8499,TDs - 64,,"A big part of the Giant's Super Bowl XLII win, he faced numerous legal troubles during his career."
28,WR,Brandon,Marshall,105,/assets/playerPhotos/BrandonMarshall.png,/assets/playerPhotos/BrandonMarshallMugshot.jpg,TRUE,0,Rec - 970,YPR - 12.7,Yards - 12351,TDs - 83,,Marshall faced various legal troubles during his 13 year NFL career. He is an advocate for mental illness.
29,WR,Randy,Moss,161,/assets/playerPhotos/RandyMoss.png,/assets/playerPhotos/RandyMossMugshot.jpg,TRUE,0,Rec - 982,YPR - 15.6,Yards - 15292,TDs - 156,,"Perhaps the greatest receiver of all time, Randy Moss was arrested after a minor incident with a traffic control officer."
30,WR,Andre,Rison,99,/assets/playerPhotos/AndreRison.jpg,/assets/playerPhotos/AndreRisonMugshot.jpg,TRUE,0,Rec - 743,YPR - 13.7,Yards - 10205,TDs - 84,,Rison failed to pay child support after squandering his NFL career earnings. 
31,TE,Aaron,Hernandez,23,/assets/playerPhotos/AaronHernandez.png,/assets/playerPhotos/AaronHernandezMugshot.jpg,TRUE,0,Rec - 175,YPR - 11.2,Yards - 1956,TDs - 18,,"Aaron Hernandez killed at least one person, probably three. Don't you just hate those scummy Patriots?"
32,TE,Kellen,Winslow Jr.,43,/assets/playerPhotos/KellenWinslowJr.jpg,/assets/playerPhotos/KellenWinslow JrMugshot.jpg,TRUE,0,Rec - 469,YPR - 11.2,Yards - 5236,TDs - 25,,He did a lot of bad stuff!
33,TE,Fred,Davis,15,/assets/playerPhotos/FredDavis.png,/assets/playerPhotos/FredDavisMugshot.jpg,TRUE,0,Rec - 162,YPR - 12.6,Yards - 2043,TDs - 133,,The former Redskins TE battled substance abuse issues throughout his career.
34,K,Josh,Brown,46,/assets/playerPhotos/JoshBrown.png,/assets/playerPhotos/JoshBrownMugshot.jpg,TRUE,0,FGA - 380,FGM - 319,XPA - 441,XPM - 438,,"Brown was responsible for several domestic violence issues. He has since begun to speak publicly about his past, encouraging young men to treat women with respect and kindness."
35,K,Matt,Prater,34,/assets/playerPhotos/MattPrater.png,/assets/playerPhotos/MattPraterMugshot.jpg,TRUE,0,FGA - 329,FGM - 276,XPA - 426,XPM - 418,,"This Lions kicker has bRush Attled issues with alcohol, but is now sober and an ""upright"" citizen."
36,K,Sebastian,Janikowski,60,/assets/playerPhotos/SebastianJanikowski.png,/assets/playerPhotos/SebastianJanikowskiMugshot.jpg,TRUE,0,FGA - 542,FGM - 436,XPA - 614,XPM - 605,,"Janikowski was arrested for several alcohol related instances, including being kicked out of a Tallahassee bar. If you're kicked out of a bar in Florida, you know you have a problem."
37,K,Jeff,Reed,25,/assets/playerPhotos/JeffReed.png,/assets/playerPhotos/JeffReedMugshot.jpg,TRUE,0,FGA - 259,FGM - 213,XPA - 323,XPM - 320,,"Reed was cited by police on the night of February 14, 2009, for disorderly conduct and criminal mischief for destroying a paper towel holder in a bathroom at a convenience store. Reed was reportedly angry that the men's restroom was out of paper towels."
1,QB,Ben,Roethlisberger,185,/assets/playerPhotos/BigBen.png,/assets/playerPhotos/BigBenMugshot.jpg,FALSE,0,QB Record 144-70-1,Comp% - 64.4,Yards - 56470,TDs - 191,,"Big Ben was never actually formally charged with a crime, but was accused of sexual assault twice. If you have a nickname like he does, you belong in this game."
9,RB,OJ,Simpson,116,/assets/playerPhotos/OjSimpson.jpg,/assets/playerPhotos/OJSimpson Mugshot.jpg,FALSE,0,Rush Att - 2404,YPA - 4.7,Yards - 11236,TDs - 61,,You know.
10,RB,Jim,Brown,122,/assets/playerPhotos/JimBrown.jpg,/assets/playerPhotos/JimBrown Mugshot.jpg,FALSE,0,Rush Att - 2359,YPA - 5.2,Yards - 12312,TDs - 106,,"Jim Brown has a complicated history: he has done many charitable acts throughout his life, but also has had problems with domestic violence. He also had a complicated career: he was a great player, but he was on the Browns."
